pricing,bed,bath,sqft,plot_size,address,PublicSymbol,PrivateSymbol
"$6,825,000",6,6.5,"8,011",0.41,3065 university ter nw,NonLead,NonLead
"$1,695,000",4,3.5,"1,941","1,105",104 4th st se,NonLead,NonLead
"$499,999",4,3,"1,418","3,575",3214 w st se,NonLead,NonLead
"$749,900",5,3,"1,152","1,862",5604 kansas ave nw,NonLead,NonLead
"$749,999",3,2.5,"1,450","1,180",1426 pennsylvania ave se,Lead,Lead
"$850,000",3,2.5,"1,484","1,038",1158 abbey pl ne,Lead,Lead
"$875,000",4,2,"1,794","1,843",1221 d st ne,NonLead,Lead
"$1,475,000",5,3.5,"2,461","1,785",15 6th st ne,Lead,Lead
"$179,000",3,1.5,"1,412","2,926",98 elmira st sw,NonLead,NonLead
"$739,999",5,3.5,"2,064","5,326",5010 brooks st ne,NonLead,NonLead
"$1,350,000",5,4.5,"2,092","1,103",510 d st ne,NonLead,NonLead
"$1,995,000",6,4.5,"3,754","5,040",5012 hawthorne pl nw,NonLead,NonLead
"$2,100,000",4,3.5,"2,791","1,424",1100 e st ne,NonLead,NonLead
"$1,795,000",3,3.5,"3,188","6,900",2900 ellicott st nw,NonLead,NonLead
"$1,450,000",4,4,"3,786","1,867",303 m st nw,NonLead,NonLead
"$1,595,000",4,3,"3,925","7,250",6429 31st st nw,NonLead,NonLead
"$6,700,000",4,4.5+,"5,500","2,761",1342 28th st nw,NonLead,NonLead
"$1,495,000",5,5.5,"2,740","1,400",1905 4th st nw,NonLead,NonLead
"$850,000",4,2,"2,858","5,060",615 underwood st nw,NonLead,NonLead
"$1,795,000",4,3.5+,"3,123","5,584",3073 cleveland ave nw,NonLead,NonLead
"$600,000",4,2.5,"1,365","1,900",445 decatur st nw,NonLead,NonLead
"$745,000",3,2.5,"1,530","1,360",613 16th st ne,NonLead,NonLead
"$1,949,000",4,3.5,"2,448","2,260",3717 fulton st nw,NonLead,Lead
"$1,200,000",2,1.5,"1,937","2,970",4849 brandywine st nw,NonLead,NonLead
"$1,060,000",3,1.5,"1,498","3,192",3600 morrison st nw,NonLead,NonLead
"$880,000",2,1.5,"1,036",836,961 25th st nw,NonLead,NonLead
"$899,900",2,2.5,"1,318","1,044",921 e st se,NonLead,NonLead
"$1,398,500",4,3.5,"2,063",993,520 12th st ne,Lead,Lead
"$899,950",2,2.5,"1,318","1,282",2009 vermont ave nw,NonLead,NonLead
"$1,475,000",5,3.5,"2,365","1,438",406 13th st ne,NonLead,NonLead
"$369,000",3,2,"1,782","2,500",2349 s st se,NonLead,NonLead
"$1,245,000",3,3.5,"2,222","1,952",616 6th st ne,NonLead,NonLead
"$1,175,000",4,3.5,"1,920","1,200",1738 d st se,NonLead,NonLead
"$1,350,000",4,2,"1,973","5,155",3809 ingomar st nw,NonLead,NonLead
"$925,000",3,3,"1,998",885,34 u st nw,Lead,Lead
"$899,000",4,2,"2,250","2,547",121 webster st nw,NonLead,Lead
"$529,900",3,3,"1,418","2,850",1955 s st se,NonLead,NonLead
"$849,900",3,3.5,"1,540",945,162 u st ne,NonLead,NonLead
"$475,000",3,1.5,"1,504","3,068",18 tuckerman st nw,NonLead,NonLead
"$709,900",3,1.5,"1,748",960,235 ascot pl ne,NonLead,Lead
"$775,000",3,2.5,"2,016","3,929",5717 6th st nw,NonLead,NonLead
"$469,000",4,2,"1,504","2,304",1572 41st st se,NonLead,NonLead
"$1,000,000",4,2,"1,802",820,217 r st nw,NonLead,NonLead
"$495,000",3,2,"1,858","3,941",3957 ames st ne,NonLead,NonLead
"$650,000",4,2.5,"1,588","1,693",5922 eastern ave ne,NonLead,NonLead
"$725,000",3,3,"1,578","1,430",1922 4th st ne,NonLead,NonLead
"$545,000",3,2,"1,909","2,863",69 55th st se,NonLead,NonLead
"$1,100,000",2,2,"1,630","1,400",1820 35th st nw,NonLead,NonLead
"$750,000",4,1.5+,"2,773","6,156",121 raleigh st se,NonLead,NonLead
"$964,900",3,,"1,912","1,800",46 quincy pl ne,NonLead,NonLead
"$875,000",8,,"4,896","6,514",302 atlantic st se,NonLead,NonLead
"$1,375,000",4,2.5+,"2,568","1,166",5324 43rd st nw,NonLead,NonLead
"$2,699,000",6,4.5,"4,049",0.3,3601 fordham rd nw,NonLead,NonLead
"$900,000",8,,"3,042","3,233",1258 meigs pl ne,NonLead,NonLead
"$700,000",8,,"2,800","4,188",3012 nelson pl se,NonLead,NonLead
"$1,825,000",5,4.5,"4,600","8,609",3143 upland ter nw,NonLead,NonLead
"$988,000",3,2.5,"1,440","1,038",1171 abbey pl ne,Lead,Lead
"$1,600,000",6,,"2,800","1,589",1426 montello ave ne,NonLead,NonLead
"$175,000",1,1,"1,200","3,000",721 50th st ne,NonLead,NonLead
"$750,000",9,,"2,800","4,016",116 emerson st nw,NonLead,NonLead
"$3,500,000",6,5.5,"3,698","3,840",3132 o st nw,NonLead,NonLead
"$2,695,000",3,3.5,"2,150","1,745",3420 n st nw,NonLead,NonLead
"$490,000",3,3,"1,352","3,625",5508 foote st ne,NonLead,NonLead
"$1,042,900",4,3.5,"2,013","6,744",6201 utah ave nw,NonLead,NonLead
"$399,900",5,3,"1,986","3,240",1127 48th pl ne,NonLead,Lead
"$13,950,000",8,7.5+,"7,481","6,000",2727 q st nw,NonLead,NonLead
"$4,895,000",7,5.5,"6,100",0.71,3136 newark st nw,NonLead,NonLead
"$999,000",4,2.5,"1,954","1,330",1825 massachusetts ave se,NonLead,NonLead
"$4,995,000",6,6.5+,"6,725",1.59,2323 porter st nw,NonLead,NonLead
"$29,950,000",4,5.5+,"23,600",,2000 massachusetts ave nw,NonLead,NonLead
"$4,500,000",5,4.5,"3,700","4,332",3417 r st nw,NonLead,NonLead
"$3,490,000",7,6.5,"6,490","5,000",3602 ordway st nw,NonLead,NonLead
"$995,000",5,4,"1,835","1,000",1001 irving st nw,NonLead,Lead
"$10,000,000",7,7.5+,"14,124",0.36,3101 chain bridge rd nw,NonLead,NonLead
"$4,395,000",6,5.5,"4,302","1,833",635 maryland ave ne,NonLead,NonLead
"$15,999,999",9,8.5+,"14,113",0.75,2507 foxhall rd nw,NonLead,NonLead
"$485,000",3,1.5+,"1,539","3,208",740 oglethorpe st ne,NonLead,NonLead
"$675,000",3,2.5,"1,863","1,400",1806 m st ne,NonLead,NonLead
"$1,297,500",4,3.5,"1,932",987,1108 4th st ne,NonLead,NonLead
"$829,000",4,2.5,"1,820","5,600",2028 douglas st ne,NonLead,NonLead
"$7,900,000",6,8.5,"9,575",0.3,1930 foxview cir nw,NonLead,NonLead
"$4,790,000",5,5.5,"5,714","5,155",2446 kalorama rd nw,NonLead,NonLead
"$2,895,000",4,3.5,"3,141","1,254",1632 15th st nw,NonLead,NonLead
"$1,999,999",4,3.5,"2,940","5,007",4106 46th st nw,NonLead,NonLead
"$975,000",3,2.5,"2,356","5,801",1130 kalmia rd nw,Lead,Lead
"$320,000",4,1.5+,"2,524","2,625",6200 clay st ne,NonLead,NonLead
"$9,995,000",5,4.5+,"9,200",0.25,2438 belmont rd nw,NonLead,NonLead
"$510,000",3,2,"2,300","4,356",4004 20th st ne,NonLead,NonLead
"$2,850,000",5,3,"3,137","5,347",3410 volta pl nw,NonLead,NonLead
"$6,195,000",6,5.5,"5,900",0.37,3024 44th st nw,NonLead,NonLead
"$449,000",3,2,"1,215","2,914",906 division ave ne,Lead,Lead
"$959,000",3,2,"1,854","1,185",1429 ames pl ne,NonLead,NonLead
"$557,500",4,3,"1,938","4,263",5327 blaine st ne,NonLead,NonLead
"$499,999",4,2.5,"1,564","5,000",5316 jay st ne,NonLead,NonLead
"$1,249,000",4,2.5,"1,954",850,547 4th st se,NonLead,NonLead
"$990,000",4,3.5,"3,456","5,574",1345 ingraham st nw,NonLead,NonLead
"$1,399,000",4,4.5,"3,179","5,000",6819 8th st nw,Lead,Lead
"$399,900",3,2,"1,440","1,584",1509 morris rd se,NonLead,NonLead
"$890,000",3,2,"2,160","2,020",2525 12th st nw,NonLead,Lead
"$839,000",3,2.5,"1,810","1,385",1404 perry pl nw,NonLead,NonLead
"$595,000",3,2.5,"2,048","5,089",2213 retta gilliam ct se,NonLead,NonLead
"$1,195,000",3,2.5,"2,203","5,305",5011 fulton st nw,NonLead,NonLead
"$199,800",1,1,936,"4,000",5130 c st se,Lead,Lead
"$1,125,000",2,1.5,"1,462","1,346",640 e st se,NonLead,NonLead
"$520,000",3,2,"1,230","2,544",2111 bunker hill rd ne,NonLead,NonLead
"$1,845,000",3,2.5,"2,412","2,399",510 d st se,NonLead,NonLead
"$2,594,900",5,4.5,"2,785","3,410",2457 p st nw,NonLead,NonLead
"$1,495,000",3,2.5+,"2,340","4,590",3721 yuma st nw,NonLead,NonLead
"$14,900,000",7,8.5+,"13,034",0.75,2509 foxhall rd nw,NonLead,NonLead
"$1,225,000",5,3.5,"2,452","1,632",3657 13th st nw,NonLead,NonLead
"$1,150,000",8,,"3,362","4,128",3520 ely pl se,Lead,Lead
"$724,900",2,1,672,512,18 gessford ct se,Lead,Lead
"$587,500",3,2,"1,053","5,001",4452 hilltop ter se,NonLead,NonLead
"$495,000",4,3.5,"1,969","3,832",522 49th st ne,NonLead,NonLead
"$1,250,000",4,2.5,"1,900","2,100",1717 kenyon st nw,NonLead,Lead
"$1,775,000",5,3.5,"2,750","1,108",623 6th st ne,NonLead,Lead
